PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p1,0,Bar,0.46460384,0.48,-2.8324246
p1,1,Radar,0.2765196,0.27,-2.9266505
p1,2,Alluvial,0.90513,1.0,-2.1852775
p1,3,Bar,0.56051797,0.6,-2.603998
p1,4,Bar,0.78081006,0.8,-2.7939575
p1,5,Bar,0.9224815,0.9,-2.761394
p1,6,Bar,0.6827521,0.75,-2.37896
p1,7,Bar,0.4161523,0.45,-2.654284
p1,8,Alluvial,0.3487062,0.25,-2.160323
p1,9,Alluvial,0.42051318,0.25,-1.7587056
