PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p1,0,Bar,0.86260945,0.85,-2.8613489
p1,1,Bar,0.40569797,0.4,-2.9356916
p1,2,Radar,0.32157108,0.4,-2.2974033
p1,3,Bar,0.24509951,0.2,-2.555549
p1,4,Alluvial,0.7971681,0.6,-1.6341146
p1,5,Alluvial,0.37957358,0.4,-2.7816386
p1,6,Bar,0.83326125,0.85,-2.8186936
p1,7,Radar,0.83418435,0.95,-2.053999
p1,8,Bar,0.41145638,0.45,-2.6122527
p1,9,Radar,0.63133365,0.6,-2.6773
