PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p1,0,Bar,0.19979459,0.3,-2.1506865
p1,1,Bar,0.8525758,0.85,-2.9705737
p1,2,Bar,0.29002145,0.35,-2.43457
p1,3,Bar,0.47920337,0.5,-2.7779708
p1,4,Radar,0.4690647,0.45,-2.795211
p1,5,Bar,0.4866109,0.5,-2.8531976
p1,6,Bar,0.5459414,0.6,-2.481496
p1,7,Alluvial,0.9307116,0.9,-2.683051
p1,8,Alluvial,0.3301498,0.2,-1.9705838
p1,9,Bar,0.87936956,0.9,-2.7796164
