PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p1,0,Alluvial,0.9755005,0.04,0.0847453
p1,1,Bar,0.33212548,0.04,-1.2614466
p1,2,Radar,0.46418634,0.04,-0.86463237
p1,3,Radar,0.35451895,0.04,-1.1860027
p1,4,Alluvial,0.39152062,0.05,-1.0999873
p1,5,Bar,0.16432637,0.05,-2.0629487
p1,6,Bar,0.55845755,0.05,-0.6586802
p1,7,Alluvial,0.8323107,0.04,-0.124517694
p1,8,Radar,0.44895887,0.04,-0.9051994
p1,9,Bar,0.87626594,0.04,-0.05699251
