PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p1,0,Bar,0.819765,0.8,-2.7882156
p1,1,Radar,0.7751008,0.75,-2.7359962
p1,2,Radar,0.3026436,0.2,-2.1351511
p1,3,Alluvial,0.9049002,1.0,-2.1837702
p1,4,Bar,0.12312438,0.1,-2.7551188
p1,5,Bar,0.26961106,0.2,-2.3613343
p1,6,Radar,0.7264371,1.0,-1.3271207
p1,7,Radar,0.266525,0.2,-2.3843954
p1,8,Bar,0.86226875,0.85,-2.8649251
p1,9,Bar,0.97383344,0.96,-2.8485727
